Filename,Model,Recycle,Average_pLDDT,Area_Up,Area_Down
model_2_ptm_r3_seed1.pdb,3,3,77.63457020057314,3068.0641875,3537.9403759999996
model_3_ptm_r4_seed7.pdb,4,4,77.19284383954145,2823.2421995,3353.3596055
model_4_ptm_r1_seed6.pdb,1,1,73.43086676217762,877.0371269999998,1222.931629
model_5_ptm_r6_seed0.pdb,6,6,78.28969197707742,1183.0641214999998,1395.4985980000001
model_5_ptm_r11_seed2.pdb,11,11,79.99627507163328,3161.2604155,3896.086592
model_4_ptm_r11_seed4.pdb,11,11,78.49597421203441,1505.337945,1972.7869300000002
model_1_ptm_r0_seed3.pdb,0,0,50.96315902578794,352.33200400000004,230.30569149999997
model_3_ptm_r9_seed4.pdb,9,9,80.20813753581653,1584.4508789999998,1941.0781625
model_5_ptm_r5_seed8.pdb,5,5,76.76479226361025,3218.2149225,4028.246926
model_2_ptm_r0_seed9.pdb,0,0,52.64269340974213,2597.5640845,1258.7393474999997
model_1_ptm_r11_seed7.pdb,11,11,78.16682664756445,2158.356148,2735.424831
model_2_ptm_r8_seed5.pdb,8,8,76.4209383954154,3046.0936085000003,3741.0837740000006
model_1_ptm_r6_seed4.pdb,6,6,77.15705587392551,2502.24039,3132.03672
model_5_ptm_r0_seed7.pdb,0,0,61.50198424068759,1808.558659,1659.4927200000002
model_4_ptm_r7_seed1.pdb,7,7,73.49292979942693,2176.27921,2762.189248
model_3_ptm_r2_seed0.pdb,2,2,77.21032951289415,850.5216920000003,1006.0425524999999
model_2_ptm_r5_seed6.pdb,5,5,79.00210601719188,2391.791364,2743.914543
model_2_ptm_r10_seed1.pdb,10,10,80.3568051575931,1980.3688080000002,2475.6874865
model_3_ptm_r10_seed7.pdb,10,10,79.23094555873932,1958.5296035,2493.928
model_3_ptm_r1_seed8.pdb,1,1,67.66739255014322,1684.2236850000002,1607.550923
model_4_ptm_r4_seed9.pdb,4,4,76.62946275071643,239.53455749999986,451.036091
model_4_ptm_r4_seed8.pdb,4,4,76.2240042979943,2556.8721855,3116.246195
model_3_ptm_r1_seed9.pdb,1,1,70.07648280802297,1472.1525444999997,1658.4617475
model_2_ptm_r10_seed0.pdb,10,10,79.68694842406877,3115.640625,3977.2191345
model_3_ptm_r10_seed6.pdb,10,10,79.56323782234944,1357.9225310000002,1585.4632515
model_3_ptm_r2_seed1.pdb,2,2,73.73794412607441,1504.1722559999998,1644.05332
model_2_ptm_r5_seed7.pdb,5,5,79.64234957020048,2250.020982,2748.355393
model_5_ptm_r0_seed6.pdb,0,0,62.984126074498576,101.4682755,667.268414
model_4_ptm_r7_seed0.pdb,7,7,79.5113395415473,806.1725219999998,1170.9626565
model_1_ptm_r6_seed5.pdb,6,6,75.95840257879645,2365.365944,2941.1765040000005
model_2_ptm_r8_seed4.pdb,8,8,79.17621776504303,2072.8482685,2721.376836
model_1_ptm_r11_seed6.pdb,11,11,77.77698424068763,2638.224625,3344.1161629999997
model_2_ptm_r0_seed8.pdb,0,0,52.19991404011461,480.5824590000002,116.51575550000007
model_5_ptm_r5_seed9.pdb,5,5,79.52785100286532,1342.675189,1591.6967674999999
model_3_ptm_r9_seed5.pdb,9,9,78.77808022922645,1959.482958,2409.7478265
model_1_ptm_r0_seed2.pdb,0,0,53.153058739254995,90.7869589999999,519.2680819999998
model_5_ptm_r11_seed3.pdb,11,11,78.85207736389683,1098.4488339999998,1436.150547
model_4_ptm_r11_seed5.pdb,11,11,77.85730659025788,2229.5410455,2850.5134854999997
model_4_ptm_r1_seed7.pdb,1,1,64.74906876790837,159.00857100000002,455.3889540000001
model_5_ptm_r6_seed1.pdb,6,6,79.43053008595989,1844.5166669999999,2196.195372
model_2_ptm_r3_seed0.pdb,3,3,71.03235673352424,2604.4524535,3374.3334255
model_3_ptm_r4_seed6.pdb,4,4,79.1445128939829,1812.133031,2024.5362510000004
model_3_ptm_r4_seed4.pdb,4,4,78.08054441260765,1949.161731,2418.1974495
model_2_ptm_r3_seed2.pdb,3,3,78.20504297994258,2610.1542915,3237.2563815000003
model_5_ptm_r6_seed3.pdb,6,6,78.48863896848141,1654.2961430000003,2002.0702605000001
model_4_ptm_r1_seed5.pdb,1,1,73.80088108882529,2111.3444584999997,2353.4746829999995
model_1_ptm_r0_seed0.pdb,0,0,51.665644699140366,156.39423250000002,122.04388250000002
model_4_ptm_r11_seed7.pdb,11,11,78.68100286532967,1181.8834015,1485.9135665
model_5_ptm_r11_seed1.pdb,11,11,79.47950573065916,1412.2620465,1823.463956
model_3_ptm_r9_seed7.pdb,9,9,79.27931948424059,2070.7726725,2461.570965
model_1_ptm_r3_seed8.pdb,3,3,75.81871060171927,2177.97079,2367.4233990000002
model_5_ptm_r8_seed8.pdb,8,8,79.2291189111747,636.3242469999999,728.3811395
model_1_ptm_r11_seed4.pdb,11,11,79.06355300859612,2063.349961,2596.544754
model_5_ptm_r12_seed9.pdb,12,12,79.34113896848135,586.2990699999999,762.8946240000001
model_2_ptm_r8_seed6.pdb,8,8,79.44962750716317,2574.7213009999996,3100.752084
model_1_ptm_r6_seed7.pdb,6,6,76.74103868194844,2413.015685,3109.7627085
model_4_ptm_r7_seed2.pdb,7,7,78.89015042979949,2409.3570645,2732.689875
model_5_ptm_r0_seed4.pdb,0,0,62.6149140401145,494.68509700000004,76.33751100000018
model_2_ptm_r5_seed5.pdb,5,5,78.0813538681948,3136.542998,3811.276127
model_3_ptm_r2_seed3.pdb,2,2,76.88126074498562,1902.443172,2266.6314859999998
model_4_ptm_r9_seed9.pdb,9,9,76.69602435530085,1142.2854125000001,1471.2157875
model_3_ptm_r10_seed4.pdb,10,10,79.74421919770776,2041.1672019999999,2442.9950005
model_2_ptm_r10_seed2.pdb,10,10,79.5312177650429,1957.4697145,2577.242494
model_3_ptm_r10_seed5.pdb,10,10,79.26958452722064,1639.277317,2014.126463
model_2_ptm_r10_seed3.pdb,10,10,79.08389684813764,2596.4363715,3108.3243635
model_4_ptm_r9_seed8.pdb,9,9,79.16118911174779,2255.140931,2846.30875
model_2_ptm_r5_seed4.pdb,5,5,79.32864613180517,1882.4908830000002,2518.5438130000002
model_3_ptm_r2_seed2.pdb,2,2,71.49194842406884,1704.8098639999998,1931.660144
model_4_ptm_r7_seed3.pdb,7,7,77.92788681948423,661.470264,977.3408215
model_5_ptm_r0_seed5.pdb,0,0,58.086217765043024,376.12869899999987,355.64891400000005
model_1_ptm_r6_seed6.pdb,6,6,76.57429799426932,1766.53256,2248.375837
model_2_ptm_r8_seed7.pdb,8,8,73.47987106017192,2239.7441675,2702.2202015000003
model_5_ptm_r8_seed9.pdb,8,8,78.80767908309448,2104.9939965000003,2655.7574025000004
model_1_ptm_r11_seed5.pdb,11,11,75.4455014326649,2043.901057,2554.4329705
model_5_ptm_r12_seed8.pdb,12,12,78.25224212034391,1486.8128345,1935.5034825
model_1_ptm_r3_seed9.pdb,3,3,75.5265830945559,1754.132632,2011.521793
model_3_ptm_r9_seed6.pdb,9,9,79.26622492836668,1970.049075,2460.3214370000005
model_4_ptm_r11_seed6.pdb,11,11,78.75651146131803,1674.2684519999998,2041.3020255000001
model_5_ptm_r11_seed0.pdb,11,11,68.66287965616041,82.45259700000003,127.77926749999995
model_1_ptm_r0_seed1.pdb,0,0,50.727614613180506,540.3451250000002,996.721424
model_5_ptm_r6_seed2.pdb,6,6,79.28396131805171,19.24620749999994,84.6337519999999
model_4_ptm_r1_seed4.pdb,1,1,72.35620343839523,2494.745955,3016.181549
model_3_ptm_r4_seed5.pdb,4,4,79.84856733524357,2208.756163,2467.7734290000003
model_2_ptm_r3_seed3.pdb,3,3,69.00544412607448,2517.8090125,2583.6687684999997
model_4_ptm_r1_seed0.pdb,1,1,74.83588108882526,1851.319757,2249.1434975
model_5_ptm_r6_seed6.pdb,6,6,78.04826647564471,1489.461442,1694.6343415
model_2_ptm_r3_seed7.pdb,3,3,78.32580945558736,2532.965728,2902.1549385
model_3_ptm_r4_seed1.pdb,4,4,77.43259312320916,1701.6013475000002,2143.7669669999996
model_3_ptm_r9_seed2.pdb,9,9,77.301482808023,2048.6415500000003,2511.2408775000004
model_1_ptm_r0_seed5.pdb,0,0,49.17386103151864,151.3701809999999,10.948939500000023
model_1_ptm_r12_seed9.pdb,12,12,77.91568767908319,2048.16781,2695.515904
model_5_ptm_r11_seed4.pdb,11,11,78.13366045845268,346.4515745,156.82309150000003
model_4_ptm_r11_seed2.pdb,11,11,78.48980659025786,1859.3565594999998,2361.380918
model_3_ptm_r7_seed9.pdb,7,7,80.41367478510016,2040.3391585,2519.9599449999996
model_4_ptm_r2_seed8.pdb,2,2,68.6540186246419,2688.4294689999997,3161.0732805000007
model_1_ptm_r11_seed1.pdb,11,11,77.90166905444124,2590.769749,3193.4268840000004
model_1_ptm_r6_seed2.pdb,6,6,76.3640759312321,2778.7335235000005,3390.8759064999995
model_2_ptm_r8_seed3.pdb,8,8,78.4300787965614,2336.25879,2697.3987865
model_3_ptm_r2_seed6.pdb,2,2,76.67838108882518,1920.8584999999998,2420.1425204999996
model_2_ptm_r5_seed0.pdb,5,5,80.25127507163323,2737.085659,3592.2903610000003
model_5_ptm_r0_seed1.pdb,0,0,64.54881088825209,2815.508126,2775.5497065
model_4_ptm_r7_seed7.pdb,7,7,77.63551575931234,2810.2144670000002,3380.834873
